1.0,2.0,4.0,60000,"4.032.258,06",1.0,62,62,250000000
1.0,2.0,6.0,60000,"6.428.571,43",2.0,105,0,675000000
1.0,1.0,5.0,167.000,4.700.000,2.0,50,0,235000000
1.0,1.0,4.0,60000,6.187.500,1.0,32,0,198000000
2.0,2.0,6.0,180.000,7.421.875,1.0,64,64,475000000
4.0,5.0,6.0,650.000,"6.162.790,70",2.0,172,172,1060000000
3.0,2.0,5.0,60000,"3.334.127,17",1.0,"125,97",115,420000000
2.0,2.0,3.0,40.000,"4.818.181,82",1.0,55,55,265000000
3.0,3.0,4.0,244.000,"4.487.099,59",1.0,"80,23","80,23",360000000
2.0,2.0,6.0,60000,"4.857.142,86",1.0,70,0,340000000
3.0,2.0,5.0,60.000,"4.551.282,05",1.0,78,0,355000000
3.0,3.0,6.0,60000,"6.461.538,46",1.0,130,130,840000000
3.0,2.0,5.0,60000,"3.698.630,14",1.0,73,0,270000000
2.0,2.0,4.0,230.000,"5.333.333,33",1.0,60,0,320000000
3.0,3.0,4.0,311.000,"3.197.674,42",1.0,86,86,275000000
2.0,2.0,4.0,60000,"4.081.632,65",1.0,49,0,200000000
3.0,2.0,5.0,281.000,"6.798.801,57",1.0,"86,78",87,590000000
5.0,5.0,4.0,843.000,"2.188.552,19",1.0,297,297,650000000
3.0,2.0,5.0,450.000,5.800.000,2.0,110,0,638000000
3.0,3.0,5.0,320.000,"4.702.380,95",1.0,84,84,395000000
4.0,5.0,6.0,900.000,"4.280.155,64",2.0,257,257,1100000000
1.0,1.0,5.0,65.500,6.000.000,1.0,30,30,180000000
3.0,4.0,5.0,607.000,"4.170.212,77",1.0,235,235,980000000
3.0,5.0,6.0,1.050.000,7.400.000,3.0,250,250,1850000000
3.0,2.0,3.0,163.000,4.200.000,1.0,50,0,210000000
2.0,2.0,4.0,165.000,"4.907.407,41",1.0,54,0,265000000
4.0,3.0,4.0,60000,"3.465.116,28",1.0,86,86,298000000
3.0,2.0,5.0,218.000,"4.666.666,67",1.0,75,75,350000000
2.0,2.0,6.0,320.000,"6.216.216,22",1.0,74,0,460000000
1.0,2.0,4.0,60000,"4.032.258,06",1.0,62,62,250000000
1.0,2.0,6.0,60000,"6.428.571,43",2.0,105,0,675000000
1.0,1.0,5.0,167.000,4.700.000,2.0,50,0,235000000
1.0,1.0,4.0,60000,6.187.500,1.0,32,0,198000000
3.0,2.0,5.0,281.000,"6.798.801,57",1.0,"86,78",87,590000000
