60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
180000,64,475000000
650000,172,1060000000
60000,125.97,420000000
40000,55,265000000
244000,80.23,360000000
60000,70,340000000
60000,78,355000000
60000,130,840000000
60000,73,270000000
230000,60,320000000
311000,86,275000000
60000,49,200000000
281000,86.78,590000000
843000,297,650000000
450000,110,638000000
320000,84,395000000
900000,257,1100000000
65500,30,180000000
607000,235,980000000
1050000,250,1850000000
163000,50,210000000
165000,54,265000000
60000,86,298000000
218000,75,350000000
320000,74,460000000
60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
281000,86.78,590000000
163000,50,210000000
244000,80.23,360000000
60000,86,298000000
843000,297,650000000
60000,70,340000000
900000,257,1100000000
60000,49,200000000
180000,64,475000000
60000,130,840000000
60000,78,355000000
60000,73,270000000
607000,235,980000000
650000,172,1060000000
320000,84,395000000
1050000,250,1850000000
218000,75,350000000
311000,86,275000000
60000,125.97,420000000
230000,60,320000000
65500,30,180000000
165000,54,265000000
450000,110,638000000
320000,74,460000000
40000,55,265000000
60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
546167,145,935000000
230652,55,295000000
550000,215,892000000
60000,70,340000000
310000,73,350000000
360000,93,465000000
250000,86,370000000
390000,93,530000000
418000,102,530000000
280000,73,405000000
1,64,230000000
60000,77,289000000
700000,215,1200000000
530000,95,600000000
190000,52,295000000
368000,90,420000000
217840,65,243000000
60000,50,320000000
1000000,214,980000000
60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
60000,40,130000000
220000,96,450000000
363000,89,428000000
330000,77,430000000
267000,72,420000000
60000,70,340000000
300000,165,1100000000
103000,45,200000000
60000,120,469900000
150000,53,226000000
230000,62,280000000
60000,70,490000000
60000,65,90000000
451800,105,470000000
528000,97,510000000
60000,156,355000000
60000,61.39,310000000
178300,31,135000000
596300,119,519000000
60000,45,130000000
300000,78,412000000
360000,90,625000000
725000,248,950000000
450000,135,590000000
495000,103,440000000
60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
750000,167,690000000
620000,127,620000000
60000,37,138000000
456600,155,650000000
60000,70,340000000
172000,55,220000000
60000,70,220000000
592800,117,470000000
60000,139,270000000
573265,104,880300000
60000,132,480000000
60000,105,720000000
158000,98,558000000
292000,61,250000000
60000,68,290000000
860000,162,700000000
70000,37,127000000
450000,117,735000000
60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
74000,39,106000000
342200,79,470000000
178800,50.83,220000000
320000,123,700000000
261000,82,350000000
60000,70,340000000
592800,117,470000000
228200,67,240000000
576000,122,600000000
183000,67,230000000
150000,52,245000000
60000,99,360000000
330000,85,630000000
178600,50,255000000
442400,40,300000000
820000,134,730000000
60000,32,203000000
400000,102,500000000
750000,150,860000000
500000,112,550000000
590000,199,450000000
160000,52,295000000
100000,85,420000000
2300000,627,3000000000
60000,110,380000000
165000,54,265000000
60000,132,580000000
126018,47,180000000
120000,75,320000000
229000,63,295000000
285173,105,487500000
550000,132,550000000
340000,89,390000000
140000,98,260000000
2500000,342,3000000000
700000,143,980000000
265000,84,350000000
769000,150,850000000
60000,90,285000000
442000,90,625000000
60000,174,700000000
85000,71.5,340000000
605000,111,840000000
140000,52,190000000
478000,98,485000000
330000,85,630000000
112000,40,147000000
579000,126,565000000
220000,57,180000000
223000,55,430000000
297000,100,550000000
60000,62,250000000
60000,105,675000000
167000,50,235000000
60000,32,198000000
60000,109,320000000
210,66,320000000
250000,165,660000000
60000,70,340000000
295000,88,510000000
308000,76,405000000
453000,94,630000000
162720,57,247000000
60000,127,670000000
60000,68,265000000
207000,67,345000000
60000,104,1200000000
770000,150,850000000
190000,84,435000000
443000,40,310000000
470000,99.66,510000000
600000,138,620000000
290000,75,423000000
596300,119,519000000
769000,150,850000000
60000,147.8,900000000
754000,258,1650000000
60000,76.54,530000000
60000,110,380000000
165000,54,265000000
60000,132,580000000
126018,47,180000000
680000,135,900000000
350000,80,430000000
540000,155,695000000
400000,77,377000000
180000,140,580000000
340000,89,390000000
390500,84,465000000
220000,70,390000000
60000,84,498000000
60000,87,590000000
60000,77,180000000
1200000,342,1600000000
332500,106,380000000
776900,194,730000000
510000,123,870000000
563000,152,700000000
230000,71,355000000
60000,55,275000000
60000,78,220000000
950000,368,1648000000
400000,140,480000000
868889,160,1600000000
250000,65,470000000
535000,161,1165000000
496000,104,687000000
60000,110,380000000
165000,54,265000000
60000,132,580000000
126018,47,180000000
160000,57,180000000
95000,39,145000000
126000,54,240000000
450000,104,670000000
340000,89,390000000
285173,98,487500000
496000,104,687000000
145000,28,260000000
107000,30,150000000
748000,167,690000000
215000,72,340000000
308000,85,330000000
350000,99,520000000
335000,80,460000000
370000,115,420000000
230000,77,445000000
1070000,330,1200000000
883000,217,1350000000
370000,120,543000000
160000,48,170000000
300000,92,407500000
140000,42,165000000
110000,75,395000000
150000,112,470000000
